test,base,strengthened,a100,h100,gh200
wwc_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_REL,INSTANCE,INSTANCE,seen,seen,not seen
wwc_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_REL,INSTANCE,INSTANCE,seen,seen,seen
wwc_TB_1_02_SCOPE_BLOCK_NO_FENCE_ACQ_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_1_02_SCOPE_BLOCK_NO_FENCE_ACQ_REL,INSTANCE,INSTANCE,seen,seen,seen
wwc_TB_1_02_SCOPE_BLOCK_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
wwc_TB_1_02_SCOPE_BLOCK_NO_FENCE_REL_ACQ,INSTANCE,INSTANCE,seen,seen,seen
wwc_TB_1_02_SCOPE_BLOCK_NO_FENCE_REL_REL,INSTANCE,INSTANCE,seen,seen,seen
wwc_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
wwc_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_ACQ,INSTANCE,INSTANCE,seen,seen,not seen
wwc_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_REL,INSTANCE,INSTANCE,seen,seen,not seen
wwc_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,seen,seen,not seen
wwc_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_REL,INSTANCE,INSTANCE,seen,seen,not seen
wwc_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE,UNSAT,UNSAT,not seen,not seen,not seen
wwc_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_ACQ,UNSAT,UNSAT,not seen,not seen,not seen
wwc_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_REL,UNSAT,UNSAT,not seen,not seen,not seen
wwc_TB_1_02_SCOPE_DEVICE_NO_FENCE_ACQ_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_1_02_SCOPE_DEVICE_NO_FENCE_ACQ_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_1_02_SCOPE_DEVICE_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
wwc_TB_1_02_SCOPE_DEVICE_NO_FENCE_REL_ACQ,UNSAT,UNSAT,not seen,not seen,not seen
wwc_TB_1_02_SCOPE_DEVICE_NO_FENCE_REL_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
z6_3_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_ALL_FENCE,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_0,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_01,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_02,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_1,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_12,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_2,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_012_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_ALL_FENCE,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_012_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_0,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_012_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_01,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_012_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_02,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_012_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_1,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_012_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_12,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_012_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_2,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_012_SCOPE_BLOCK_NO_FENCE_ACQ_REL,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_012_SCOPE_BLOCK_NO_FENCE_RELAXED,INSTANCE,INSTANCE,not seen,not seen,not seen
z6_3_TB_012_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_ALL_FENCE,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_012_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_0,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_012_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_01,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_012_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_02,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_012_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_1,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_012_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_12,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_012_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_2,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_012_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_ALL_FENCE,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_012_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_0,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_012_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_01,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_012_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_02,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_012_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_1,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_012_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_12,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_012_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_2,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_012_SCOPE_DEVICE_NO_FENCE_ACQ_REL,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_012_SCOPE_DEVICE_NO_FENCE_RELAXED,INSTANCE,INSTANCE,not seen,not seen,not seen
z6_3_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_ALL_FENCE,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_0,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_01,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_02,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_1,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_12,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_2,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_ALL_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
z6_3_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_0,INSTANCE,INSTANCE,seen,seen,not seen
z6_3_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_01,INSTANCE,INSTANCE,not seen,not seen,not seen
z6_3_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_02,INSTANCE,INSTANCE,not seen,not seen,not seen
z6_3_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_1,INSTANCE,INSTANCE,seen,not seen,not seen
z6_3_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_12,INSTANCE,INSTANCE,not seen,not seen,not seen
z6_3_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_2,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_01_2_SCOPE_BLOCK_NO_FENCE_ACQ_REL,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_01_2_SCOPE_BLOCK_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_ALL_FENCE,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_0,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_01,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_02,INSTANCE,INSTANCE,seen,seen,not seen
z6_3_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_1,INSTANCE,INSTANCE,not seen,not seen,not seen
z6_3_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_12,INSTANCE,INSTANCE,seen,seen,not seen
z6_3_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_2,INSTANCE,INSTANCE,seen,seen,not seen
z6_3_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_ALL_FENCE,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_0,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_01,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_02,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_1,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_12,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_2,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_01_2_SCOPE_DEVICE_NO_FENCE_ACQ_REL,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_01_2_SCOPE_DEVICE_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_ALL_FENCE,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_0,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_01,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_02,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_1,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_12,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_2,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_ALL_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
z6_3_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_0,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_01,INSTANCE,INSTANCE,not seen,not seen,not seen
z6_3_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_02,INSTANCE,INSTANCE,not seen,not seen,not seen
z6_3_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_1,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_12,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_2,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_0_12_SCOPE_BLOCK_NO_FENCE_ACQ_REL,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_0_12_SCOPE_BLOCK_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_ALL_FENCE,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_0,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_01,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_02,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_1,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_12,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_2,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_ALL_FENCE,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_0,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_01,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_02,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_1,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_12,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_2,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_0_12_SCOPE_DEVICE_NO_FENCE_ACQ_REL,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_0_12_SCOPE_DEVICE_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_ALL_FENCE,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_0,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_01,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_02,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_1,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_12,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_2,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_ALL_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
z6_3_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_0,INSTANCE,INSTANCE,seen,seen,not seen
z6_3_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_01,INSTANCE,INSTANCE,not seen,not seen,not seen
z6_3_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_02,INSTANCE,INSTANCE,seen,seen,not seen
z6_3_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_1,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_12,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_2,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_0_1_2_SCOPE_BLOCK_NO_FENCE_ACQ_REL,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_0_1_2_SCOPE_BLOCK_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_ALL_FENCE,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_0,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_01,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_02,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_1,INSTANCE,INSTANCE,seen,seen,not seen
z6_3_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_12,INSTANCE,INSTANCE,seen,seen,not seen
z6_3_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_2,INSTANCE,INSTANCE,seen,seen,not seen
z6_3_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_ALL_FENCE,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_0,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_01,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_02,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_1,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_12,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_2,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_0_1_2_SCOPE_DEVICE_NO_FENCE_ACQ_REL,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_0_1_2_SCOPE_DEVICE_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_ALL_FENCE,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_0,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_01,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_02,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_1,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_12,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_2,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_ALL_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
z6_3_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_0,INSTANCE,INSTANCE,not seen,seen,not seen
z6_3_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_01,INSTANCE,INSTANCE,not seen,not seen,not seen
z6_3_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_02,INSTANCE,INSTANCE,not seen,seen,not seen
z6_3_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_1,INSTANCE,INSTANCE,not seen,not seen,not seen
z6_3_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_12,INSTANCE,INSTANCE,not seen,not seen,not seen
z6_3_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_2,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_1_02_SCOPE_BLOCK_NO_FENCE_ACQ_REL,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_1_02_SCOPE_BLOCK_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_ALL_FENCE,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_0,INSTANCE,INSTANCE,not seen,not seen,not seen
z6_3_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_01,INSTANCE,INSTANCE,seen,seen,seen
z6_3_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_02,INSTANCE,INSTANCE,seen,seen,not seen
z6_3_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_1,INSTANCE,INSTANCE,not seen,seen,not seen
z6_3_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_12,INSTANCE,INSTANCE,seen,seen,not seen
z6_3_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_2,INSTANCE,INSTANCE,not seen,not seen,not seen
z6_3_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_ALL_FENCE,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_0,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_01,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_02,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_1,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_12,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_2,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_1_02_SCOPE_DEVICE_NO_FENCE_ACQ_REL,INSTANCE,UNSAT,not seen,not seen,not seen
z6_3_TB_1_02_SCOPE_DEVICE_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
